Kecamatan; Price ;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Sertifikat;Daya Listrik;Ruang Makan;Ruang Tamu;Kondisi Perabotan;Jumlah Lantai;Hadap;Terjangkau Internet;Lebar Jalan;Sumber Air;Hook;Kondisi Properti
wonokromo; 600.000.000 ;3;2;45;70;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Barat;Tidak;;;Tidak;Baru
rungkut; 600.000.000 ;3;2;48;2023;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
semampir; 600.000.000 ;3;3;48;85;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;3;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
pakal; 600.000.000 ;2;1;50;91;HGB - Hak Guna Bangunan;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;Sumur Pompa;Ya;Baru
gayungan; 600.000.000 ;2;2;51;50;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;;;Tidak;;PAM atau PDAM;Tidak;Baru
rungkut; 600.000.000 ;2;1;60;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Sudah Renovasi
tambaksari; 600.000.000 ;3;2;60;120;Lainnya (PPJB,Girik,Adat,dll);1300;Ya;Ya;Unfurnished;2;;Ya;4 Mobil;PAM atau PDAM;Tidak;Baru
benowo; 600.000.000 ;3;1;64;100;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;1;Selatan;Tidak;;;Tidak;Baru
sambikerep; 600.000.000 ;2;1;65;65;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
wonokromo; 600.000.000 ;2;1;67;67;SHM - Sertifikat Hak Milik;900;Ya;Ya;Unfurnished;2;Barat;Ya;1 Mobil;PAM atau PDAM;Tidak;Bagus
benowo; 600.000.000 ;3;2;72;60;SHM - Sertifikat Hak Milik;1300;;Tidak;Unfurnished;2;Barat;Ya;2 Mobil;;Tidak;Bagus
benowo; 600.000.000 ;2;1;72;72;HGB - Hak Guna Bangunan;2200;;;Unfurnished;2;Selatan;;;;;Baru
rungkut; 600.000.000 ;1;2;72;72;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;Utara;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 600.000.000 ;2;1;72;60;HGB - Hak Guna Bangunan;1300;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;2 Mobil;PAM atau PDAM;Tidak;
